date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:43:24	23/23	---M--	200	added ('OK')	text/plain	etag:%2280602c-17-4bb1dffdd9500%22	http://www.julius-berger.com/robots.txt		(from )
08:43:25	14670/14670	U--MC-	200	updated ('OK')	text/html	date:Fri,%2031%20Jan%202014%2007:42:56%20GMT	http://www.julius-berger.com/	C:/My%20Web%20Sites/JB/www.julius-berger.com/index.html	(from )
08:43:26	97/97	U-----	200	untouched ('OK')	text/css	etag:%2261-4ba17996e4f00%22	http://www.julius-berger.com/typo3temp/stylesheet_8b9c2e8d89.css?1330510428	C:/My%20Web%20Sites/JB/www.julius-berger.com/typo3temp/stylesheet_8b9c2e8d8902bb.css	(from http://www.julius-berger.com/)
08:43:26	43183/43183	U-----	200	untouched ('OK')	text/css	etag:%22a8af-4dceb7e2ac4c0%22	http://www.julius-berger.com/fileadmin/templates/css/style.css	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/css/style.css	(from http://www.julius-berger.com/)
08:43:26	6026/6026	U-----	200	untouched ('OK')	text/css	etag:%22178a-4ba17648fc340%22	http://www.julius-berger.com/fileadmin/templates/css/csc.css	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/css/csc.css	(from http://www.julius-berger.com/)
08:43:26	31/31	U-----	200	untouched ('OK')	text/css	etag:%221f-4ba17648fc340%22	http://www.julius-berger.com/fileadmin/templates/css/rte.css	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/css/rte.css	(from http://www.julius-berger.com/)
08:43:26	8978/8978	U-----	200	untouched ('OK')	text/css	etag:%222312-4ba176f781f00%22	http://www.julius-berger.com/fileadmin/templates/js/fancybox/jquery.fancybox-1.3.4.css	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/js/fancybox/jquery.fancybox-1.3.4.css	(from http://www.julius-berger.com/)
08:43:28	1150/1150	U-----	200	untouched ('')	image/x-icon	etag:%22824327-47e-4c61f0a5d11c0%22	http://www.julius-berger.com/fileadmin/templates/images/favicon.ico	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/images/favicon.ico	(from http://www.julius-berger.com/)
08:43:30	3312/3312	U-----	200	untouched ('')	image/png	etag:%22824808-cf0-4c721c8f21880%22	http://www.julius-berger.com/fileadmin/templates/images/jbn-logo.png	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/images/jbn-logo.png	(from http://www.julius-berger.com/)
08:43:32	22636/22636	U--MC-	200	updated ('OK')	text/xml	date:Fri,%2031%20Jan%202014%2007:43:00%20GMT	http://www.julius-berger.com/rss.xml	C:/My%20Web%20Sites/JB/www.julius-berger.com/rss.xml	(from http://www.julius-berger.com/)
08:43:34	571/571	U-----	200	untouched ('')	image/png	etag:%22826002-23b-4ba176dae5b80%22	http://www.julius-berger.com/fileadmin/templates/images/search/submit.png	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/images/search/submit.png	(from http://www.julius-berger.com/)
08:43:45	173392/173392	---M--	200	added ('OK')	image/jpeg	etag:%22826016-2a550-4b3678843f100%22	http://www.julius-berger.com/fileadmin/templates/images/slider/jbn_home_nigerian.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/images/slider/jbn_home_nigerian.jpg	(from http://www.julius-berger.com/)
08:43:57	13294/13294	U--MC-	200	updated ('OK')	text/html	date:Fri,%2031%20Jan%202014%2007:43:21%20GMT	http://www.julius-berger.com/about-us/our-profile/	C:/My%20Web%20Sites/JB/www.julius-berger.com/about-us/our-profile/index.html	(from http://www.julius-berger.com/)
